Date,Time,Open,High,Low,Close,Volume
2014.12.11,0:00,0.83305,0.83748,0.82137,0.82443,118128
2014.12.12,0:00,0.82445,0.82977,0.82258,0.8245,87741
2014.12.14,0:00,0.82446,0.8247,0.82435,0.8245,338
2014.12.15,0:00,0.82181,0.82667,0.81999,0.82118,100182
2014.12.16,0:00,0.82116,0.82734,0.8199,0.82215,113431
2014.12.17,0:00,0.82216,0.8236,0.81056,0.81241,114451
2014.12.18,0:00,0.81241,0.82022,0.8116,0.81671,103890
2014.12.19,0:00,0.8167,0.81911,0.81212,0.81437,79111
2014.12.21,0:00,0.81458,0.81475,0.81333,0.81462,4963
2014.12.22,0:00,0.8146,0.81721,0.81149,0.81183,55484
2014.12.23,0:00,0.81183,0.81429,0.80867,0.8108,56048
2014.12.24,0:00,0.8108,0.81229,0.81021,0.8107,28516
2014.12.26,0:00,0.8124,0.81314,0.8108,0.81152,23178
2014.12.28,0:00,0.81233,0.81241,0.81097,0.81121,4322
2014.12.29,0:00,0.81121,0.81614,0.81117,0.81339,52680
